id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_komiditi,volume_ekspor,satuan,tahun
1,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERTANIAN,"25,000.00",KGS,2023
2,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERKEBUNAN,750,KGS,2023
3,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PETERNAKAN,-,KGS,2023
4,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERIKANAN DAN KELAUTAN,"2,563,531.91",KGS,2023
5,32,JAWA BARAT,3274,KOTA CIREBON,HASIL HUTAN,-,KGS,2023
6,32,JAWA BARAT,3274,KOTA CIREBON,HASIL TAMBANG,"116,154,000.00",KGS,2023
7,32,JAWA BARAT,3274,KOTA CIREBON,HASIL INDUSTRI,"3,294,140.46",KGS,2023
8,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERTANIAN,0,KGS,2022
9,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERKEBUNAN,1500,KGS,2022
10,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PETERNAKAN,0,KGS,2022
11,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERIKANAN DAN KELAUTAN,220538.6,KGS,2022
12,32,JAWA BARAT,3274,KOTA CIREBON,HASIL HUTAN,0,KGS,2022
13,32,JAWA BARAT,3274,KOTA CIREBON,HASIL TAMBANG,0,KGS,2022
14,32,JAWA BARAT,3274,KOTA CIREBON,HASIL INDUSTRI,196961.99,KGS,2022
15,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERTANIAN,0,KGS,2021
16,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERKEBUNAN,1500,KGS,2021
17,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PETERNAKAN,0,KGS,2021
18,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERIKANAN DAN KELAUTAN,220538.6,KGS,2021
19,32,JAWA BARAT,3274,KOTA CIREBON,HASIL HUTAN,0,KGS,2021
20,32,JAWA BARAT,3274,KOTA CIREBON,HASIL TAMBANG,0,KGS,2021
21,32,JAWA BARAT,3274,KOTA CIREBON,HASIL INDUSTRI,196961.99,KGS,2021
22,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERTANIAN,0,KGS,2020
23,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERKEBUNAN,8970,KGS,2020
24,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PETERNAKAN,0,KGS,2020
25,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERIKANAN DAN KELAUTAN,3982840.37,KGS,2020
26,32,JAWA BARAT,3274,KOTA CIREBON,HASIL HUTAN,0,KGS,2020
27,32,JAWA BARAT,3274,KOTA CIREBON,HASIL TAMBANG,0,KGS,2020
28,32,JAWA BARAT,3274,KOTA CIREBON,HASIL INDUSTRI,3630170.27,KGS,2020
29,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERTANIAN,0,KGS,2019
30,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERKEBUNAN,0,KGS,2019
31,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PETERNAKAN,0,KGS,2019
32,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERIKANAN DAN KELAUTAN,789446,KGS,2019
33,32,JAWA BARAT,3274,KOTA CIREBON,HASIL HUTAN,0,KGS,2019
34,32,JAWA BARAT,3274,KOTA CIREBON,HASIL TAMBANG,0,KGS,2019
35,32,JAWA BARAT,3274,KOTA CIREBON,HASIL INDUSTRI,3659520,KGS,2019
36,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERTANIAN,0,KGS,2018
37,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERKEBUNAN,29530,KGS,2018
38,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PETERNAKAN,0,KGS,2018
39,32,JAWA BARAT,3274,KOTA CIREBON,HASIL PERIKANAN DAN KELAUTAN,863544.1,KGS,2018
40,32,JAWA BARAT,3274,KOTA CIREBON,HASIL HUTAN,0,KGS,2018
41,32,JAWA BARAT,3274,KOTA CIREBON,HASIL TAMBANG,0,KGS,2018
42,32,JAWA BARAT,3274,KOTA CIREBON,HASIL INDUSTRI,3039509.31,KGS,2018
